name,description,location_name,latitude,longitude,address,start_time,end_time,city,primary_category,secondary_categories,thumbnail_image,additional_images,external_link,is_paid
Hamilton (NY),,Richard Rodgers Theatre,40.75920382,-73.98676323,226 West 46th Street,2026-07-05T23:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_ARTIST_PAGE_3_2.jpg,"https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_CUSTOM.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_SOURCE,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-05-2026/event/Z1r9uZrrZbpZ1AvjV8s,false
Hamilton,,Richard Rodgers Theatre-NY,40.759300000,-73.990196000,226 W. 46th St.,2026-07-05T23:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_ARTIST_PAGE_3_2.jpg,"https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_CUSTOM.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_SOURCE,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/00f/b9aebee0-d1cb-4a5c-8e0e-0ca03fd4d00f_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7qyfx,false
Harry Potter and the Cursed Child,,Lyric Theatre - NY,40.759300000,-73.990196000,213 W 42nd St,2026-07-05T23:00:00Z,,new york,Arts & Theatre,Performance Art,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_SOURCE,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_CUSTOM.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7rKef,false
CATS: The Jellicle Ball,,Broadhurst Theatre ,40.75809299,-73.98760791,235 West 44th Street,2026-07-05T23:30:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_EVENT_DETAIL_PAGE_16_9.jpg,"https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_SOURCE,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_CUSTOM.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/ff0/da164784-dc07-4854-9fec-3fdc1f4e8ff0_ARTIST_PAGE_3_2.jpg",https://www.ticketmaster.com/cats-the-jellicle-ball-new-york-new-york-07-05-2026/event/Z1r9uZruZqGZ17JeaU,false
The Book of Mormon,,Eugene O'Neill Theatre,40.765202000,-73.985298000,230 W 49th St,2026-07-05T23:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_RETINA_PORTRAIT_16_9.jpg,"https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_CUSTOM.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_47571_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/e87/c2269fde-ca56-433b-9893-1088e03cfe87_SOURCE",https://www.ticketmaster.com/event/Z7r9jZ1A7r_fK,false
"Six (New York, NY)",,Lena Horne Theatre,40.76005630,-73.98681610,256 West 47th Street,2026-07-05T23:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_TABLET_LANDSCAPE_3_2.jpg,"https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_SOURCE,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_CUSTOM.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/26a/ae570422-5c6d-401a-8dae-8545b131126a_1248581_RETINA_PORTRAIT_3_2.jpg",https://www.ticketmaster.com/six-new-york-ny-new-york-new-york-07-05-2026/event/Z1r9uZrrZbpZ1AvO-Ge,false
MJ,,Neil Simon Theatre,40.76314609,-73.98399646,250 West 52nd Street,2026-07-05T23:00:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_CUSTOM.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_SOURCE,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/mj-new-york-new-york-07-05-2026/event/Z1r9uZrrZbpZ1Avqa-4,false
Phantom Of The Opera (Entry requires a valid photo ID. All guests must be 13+. Any guest under 16 must be accompanied by an adult),,Masquerade NYC,40.765202000,-73.985298000,218 W. 57th St,2026-07-05T23:15:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_ARTIST_PAGE_3_2.jpg,"https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_SOURCE,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_CUSTOM.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/1c8/4c6416b3-a0d2-41ac-a495-e40cae8581c8_RETINA_PORTRAIT_3_2.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7xabI,false
MJ (NY),,Neil Simon Theatre,40.765202000,-73.985298000,250 West 52nd St.,2026-07-05T23:00:00Z,,new york,Arts & Theatre,Miscellaneous,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_LARGE_16_9.jpg,"https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_CUSTOM.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_SOURCE,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/5d3/feae6a80-7f38-4e8f-917f-2560abb9d5d3_RETINA_LANDSCAPE_16_9.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7Q7rk,false
Moulin Rouge,,Al Hirschfeld Theatre,40.759300000,-73.990196000,302 West 45th Street,2026-07-05T23:30:00Z,,new york,Arts & Theatre,Theatre,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_SOURCE,"https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_TABLET_LANDSCAPE_3_2.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_RETINA_PORTRAIT_16_9.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_RETINA_PORTRAIT_3_2.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_RECOMENDATION_16_9.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_ARTIST_PAGE_3_2.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_EVENT_DETAIL_PAGE_16_9.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_CUSTOM.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_RETINA_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_TABLET_LANDSCAPE_16_9.jpg,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_TABLET_LANDSCAPE_LARGE_16_9.jpg",https://www.ticketmaster.com/event/Z7r9jZ1A7-ajF,false
